query,Description,COG
group_5554,Peptidase S24-like,K
group_4154,-,-
group_2717,-,-
group_4765,-,-
group_4925,Sh3 type 3 domain protein,T
group_5093,ATP-dependent endonuclease of the OLD family,L
group_8219,Type I restriction modification DNA specificity domain,V
group_8220,HsdM N-terminal domain,L
group_2622,Type I restriction modification DNA specificity domain,V
group_4997,Inovirus Gp2,S
group_2988,Probable zinc-ribbon,S
group_5751,-,-
group_5963,cytochrome,C
group_8221,Belongs to the 'phage' integrase family,L
group_9463,DNA mismatch repair,L
rcsC_1_rcsC_2_barA_1_barA_3_barA_2_rcsC_3,Histidine kinase,T
group_5993,-,-
cnoX,Thioredoxin,O
group_3700,-,-
roxA_2_roxA_1_roxA_3,Cupin 4 family protein,S
group_8223,-,-
group_8224,4-amino-4-deoxy-alpha-L-arabinopyranosyl undecaprenyl phosphate biosynthetic process,G
group_8225,EF Hand Domain Protein,M
hcp1_3_hcp1_2,Type VI Secretion System,S
group_4891,Protein of unknown function (DUF551),D
group_4940,-,-
group_8226,competence protein,S
group_109,-,-
group_3966,Bacteriophage replication protein O,S
xerC_3_xerC_5,Belongs to the 'phage' integrase family,L
group_7632,Phage integrase family,L
group_7630,Protein conserved in bacteria,S
group_7622,Helix-turn-helix XRE-family like proteins,K
group_7625,-,-
group_7627,Excisionase,K
group_7635,Type I restriction-modification system,L
group_7634,Type I restriction modification DNA specificity domain,L
srmB_1,COG0514 Superfamily II DNA helicase,L
group_7633,DNA recombination-mediator protein A,L
group_7621,"Subunit R is required for both nuclease and ATPase activities, but not for modification",V
ydiV_1_ydiV_2,EAL domain,T
xerC_5_xerC_1_xerC_4_xerC_2,integrase family,L
group_9770,protein conserved in bacteria,S
group_2000,-,-
group_1951,-,-
group_1825,-,-
group_856,Protein of unknown function (DUF1120),NU
group_8229,"C-terminal, D2-small domain, of ClpB protein",O
group_8230,-,-
group_933,Uncharacterized conserved protein (DUF2303),S
group_9388,-,-
group_1008,-,-
group_577,-,-
group_8232,-,-
group_5826,restriction endonuclease,V
group_9370,Intracellular multiplication and human macrophage-killing,S
group_1772,-,-
pal_3_pal_2_ompA_3,type VI secretion system OmpA MotB family protein,N
group_2382,peptidoglycan catabolic process,S
group_8233,-,-
group_8235,DNA methylase,L
group_8234,Protein of unknown function DUF262,S
group_6673,-,-
group_6660,-,-
group_5626,HNH endonuclease,S
group_5566,"PFAM Peptidase U35, phage prohead HK97",S
group_1690,"TIGRFAM Phage portal protein, HK97",S
rusA_1_rusA_3_rusA_rusA_2,Endodeoxyribonuclease RusA,L
group_1695,Phage antirepressor protein KilAC domain,K
group_3144,Putative HNHc nuclease,V
group_980,PFAM Mo-dependent nitrogenase,P
fhuC,"ABC-type cobalamin Fe3 -siderophores transport systems, ATPase components",HP
group_8237,decarboxylase,E
group_3644,PFAM D12 class N6 adenine-specific DNA methyltransferase,L
group_5763,DNA binding,K
araB,Belongs to the ribulokinase family,C
tpx_2_tpx_tpx_1,"Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides",O
yqcC,protein conserved in bacteria,S
group_3752,-,-
group_2934,competence protein COMEC,S
group_1305,Belongs to the 'phage' integrase family,L
group_5336,-,-
group_385,-,-
group_4395,-,-
yfdH_1_yfdH_yfdH_3,Involved in O antigen modification. Catalyzes the transfer of the glucose residue from UDP-glucose to a lipid carrier (By similarity),M
ydcY,Protein of unknown function (DUF2526),S
group_8238,Belongs to the 'phage' integrase family,L
group_6627,-,-
group_6626,-,-
group_6629,Peptidase S24-like,S
group_6633,Cro,S
group_1887,Zinc-binding domain of primase-helicase,S
group_1854,-,-
group_1851,Antitermination protein,O
group_1602,Bacteriophage Rz lysis protein,S
group_8240,-,-
group_1958,"Glycosyl transferase, family 2",S
group_8251,transferase activity,S
group_8246,-,-
group_8244,HNH endonuclease,S
group_8243,-,-
group_8250,-,-
group_8241,Phage Terminase,S
group_8248,Phage portal protein,S
group_8242,peptidase activity,S
group_8249,peptidase activity,S
group_8247,Phage gp6-like head-tail connector protein,S
group_8245,Phage head-tail joining protein,S
group_1940,exonuclease activity,S
group_1651,Protein of unknown function (DUF3168),S
group_1529,-,-
group_1512,tail assembly chaperone,S
group_2425,Protein of unknown function (DUF4035),S
dinB_2,Tail length tape measure protein,M
group_8252,"Psort location Cytoplasmic, score 8.96",S
intA_intA_2,Belongs to the 'phage' integrase family,L
group_4155,-,-
group_3927,-,-
group_3658,-,-
group_1736,-,-
group_1717,"TIGRFAM Phage major capsid protein, HK97",S
group_1716,"PFAM Peptidase U35, phage prohead HK97",S
group_1689,head-tail adaptor,S
group_1580,HNH nucleases,V
group_1326,"terminase, small subunit",L
group_1848,terminase,K
group_8253,-,-
group_2390,COG2801 Transposase and inactivated derivatives,L
group_1618,restriction endonuclease,L
rapA_1,helicase,L
group_8258,Domain of unknown function (DUF4391),S
group_8256,Adenine specific DNA methylase Mod,L
group_8254,"AAA domain, putative AbiEii toxin, Type IV TA system",S
group_8255,Domain of unknown function (DUF4276),S
group_8257,Type III,L
group_4069,-,-
group_1766,-,-
group_1200,C-5 cytosine-specific DNA methylase,S
group_196,Chitinase class I,S
group_8261,DNA binding,S
group_9650,lipolytic protein G-D-S-L family,E
group_9637,membrane,S
group_2150,Enterobacterial putative membrane protein (DUF943),S
rutB_2_rutB_1,Isochorismatase,Q
moaB,May be involved in the biosynthesis of molybdopterin,H
yccU,CoA-binding protein,S
group_2764,Enterobacterial putative membrane protein (DUF943),S
group_5232,"domain, Protein",M
group_4897,Rhs element vgr protein,S
cbiO_lptB_3_livF_2,abc transporter atp-binding protein,E
group_8265,Acyltransferase family,I
group_8267,-,-
group_5312,DNA-binding transcriptional regulator Cro,S
group_279,Peptidase S24-like,K
group_4934,Membrane,S
group_96,Iron-regulated membrane protein,S
group_5436,"to Acetyltransferase, GNAT family of Yersinia UniRef RepID A9R8A5_YERPG",J
truC,Pseudouridine synthase,J
yfcS_papD,chaperone,M
zntR_zntR_2,transcriptional regulator,K
group_8268,AIPR protein,S
group_8270,protein tetramerization,U
group_8269,-,-
group_8272,-,-
group_8271,-,-
group_4875,Domain of unknown function (DUF1788),S
group_30,DNA recombination,L
group_8273,DNA-binding helix-turn-helix protein,K
group_8275,helicase,L
group_8276,DEAD DEAH box helicase,L
group_8277,-,-
group_9724,Relaxase/Mobilisation nuclease domain,U
group_8279,PFAM Bacterial mobilisation protein (MobC),S
group_9714,Replicase family,KT
group_8285,-,-
group_8284,Protein of unknown function DUF262,S
group_8283,-,-
hypB_hypB_2_hypB_1,Hydrogenase accessory protein HypB,KO
group_1767,Domain of Unknown Function with PDB structure (DUF3850),S
group_1556,-,-
malP_3_glvC,"PTS system, alpha-glucoside-specific IIBC subunit",G
group_920,-,-
group_9491,calcium ion binding,S
group_2445,Bacteriophage Lambda NinG protein,S
group_9546,-,-
group_4828,"BRO family, N-terminal domain",K
group_430,-,-
group_296,-,-
group_148,Uncharacterized protein conserved in bacteria (DUF2213),S
group_4993,Protein of unknown function (DUF2612),S
group_5942,-,-
group_941,exo-alpha-(2->6)-sialidase activity,G
group_3425,Transcriptional regulator,K
yfdH_1_yfdH_2,Involved in O antigen modification. Catalyzes the transfer of the glucose residue from UDP-glucose to a lipid carrier (By similarity),M
queH,"Catalyzes the conversion of epoxyqueuosine (oQ) to queuosine (Q), which is a hypermodified base found in the wobble positions of tRNA(Asp), tRNA(Asn), tRNA(His) and tRNA(Tyr)",C
group_7561,Belongs to the 'phage' integrase family,L
group_6662,SOS response,K
group_8289,Bacteriophage lambda tail assembly protein I,S
group_8288,-,-
group_8290,-,-
yejK_2,nucleoid-associated protein,S
dmlR_11,transcriptional regulator,K
yahK_2,alcohol dehydrogenase,S
group_2989,-,-
golD,Dehydrogenases with different specificities (Related to short-chain alcohol dehydrogenases),IQ
hsdA,short-chain dehydrogenase,IQ
adhA,"Alanine dehydrogenase/PNT, C-terminal domain",C
egtB,Sulfatase-modifying factor enzyme 1,S
group_5183,Flavodoxin,C
sasA_3_sasA_2_sasA_1,"HAMP (Histidine kinases, Adenylyl cyclases, Methyl binding proteins, Phosphatases) domain",T
czcR,"transcription, DNA-templated",K
era_3_era_1_era_2,GTP binding,S
group_5607,HNH endonuclease,S
group_5628,Pentapeptide repeats (8 copies),S
vgrG1_3,vgr_GE Rhs element Vgr family protein,S
group_2549,-,-
group_4892,Protein of unknown function (DUF4065),S
group_5497,Bacteriophage replication protein O,K
group_7255,-,-
cysK_1_cbs,Belongs to the cysteine synthase cystathionine beta- synthase family,E
cpoB,Mediates coordination of peptidoglycan synthesis and outer membrane constriction during cell division,D
group_6072,Protein of unknown function (DUF3574),J
group_8292,Protein of unknown function (DUF4238),S
group_8296,endonuclease activity,V
group_5373,DNA-binding transcriptional regulator Cro,S
group_5035,Putative excisionase (DUF1233),S
group_3902,nuclear chromosome segregation,D
group_1225,-,-
group_1516,-,-
group_3015,AAA ATPase domain,S
group_8297,-,-
gsiA_3,Belongs to the ABC transporter superfamily,P
fmdA,Acetamidase/Formamidase family,C
group_1795,ABC-Type Dipeptide Transport System Periplasmic Component,E
gsiC_3,"ABC-type dipeptide oligopeptide nickel transport systems, permease components",P
gsiD_4,N-terminal TM domain of oligopeptide transport permease C,EP
group_5180,antiterminator output domain,K
amiC_3,Periplasmic binding protein domain,E
group_4181,Transposase,L
group_9653,Protein of unknown function (DUF2591),S
group_675,-,-
group_8298,Protein of unknown function (DUF4225),S
group_4342,-,-
group_8301,MTH538 TIR-like domain (DUF1863),S
group_8299,NAD-dependent protein,K
group_8300,Pfam:DUF1311,S
group_4657,-,-
plsX,"Catalyzes the reversible formation of acyl-phosphate (acyl-PO(4)) from acyl- acyl-carrier-protein (acyl-ACP). This enzyme utilizes acyl-ACP as fatty acyl donor, but not acyl-CoA",I
yddG_yddG_2_yddG_1,of the drug metabolite transporter (DMT) superfamily,EG
sodC,Destroys radicals which are normally produced within the cells and which are toxic to biological systems,P
dmsB_1_dmsB_2,reductase chain B,C
nolA,TRANSCRIPTIONal,K
group_4950,Pfam:Phage_holin_8,S
group_403,-,-
group_1356,Bacteriophage head to tail connecting protein,S
ortT,Toxin GhoT_OrtT,S
group_9381,RNA-directed DNA polymerase,L
purN,"Catalyzes the transfer of a formyl group from 10- formyltetrahydrofolate to 5-phospho-ribosyl-glycinamide (GAR), producing 5-phospho-ribosyl-N-formylglycinamide (FGAR) and tetrahydrofolate",F
group_777,"terminase, small subunit",L
group_329,-,-
group_138,AAA domain,L
group_8303,AAA ATPase domain,S
group_8304,D12 class N6 adenine-specific DNA methyltransferase,L
group_2673,PP-loop superfamily ATPase,F
group_3548,-,-
group_1105,PFAM KAP P-loop domain protein,S
group_1988,-,-
recD2,AAA domain,L
group_4961,-,-
group_1542,-,-
group_2944,-,-
group_4204,Putative phage abortive infection protein,S
group_13,virion morphogenesis protein,S
group_4476,McrBC 5-methylcytosine restriction system component,V
group_2570,Type I restriction modification DNA specificity domain,V
group_2142,Helix-turn-helix domain,L
group_2143,COG2801 Transposase and inactivated derivatives,L
arsR2_1_arsR2,Regulates the expression of of the arsRBC involved in resistance to arsenic,K
arsC_1_arsC_2_arsC_3,arsenate reductase,P
group_5445,Helix-turn-helix domain,K
flmA_2,Hok/gef family,S
yicI_1_yicI_yicI_2,Belongs to the glycosyl hydrolase 31 family,G
group_531,outer membrane autotransporter barrel domain,G
group_5989,Helix-turn-helix,K
murE,Catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan,M
group_1260,Phage protein (N4 Gp49/phage Sf6 gene 66) family,S
group_749,nuclear chromosome segregation,D
group_1891,nuclear chromosome segregation,D
group_2751,-,-
group_1797,4-amino-4-deoxy-alpha-L-arabinopyranosyl undecaprenyl phosphate biosynthetic process,G
group_1811,-,-
group_8306,DEAD-like helicases superfamily,L
group_8305,-,-
group_4960,maltose operon periplasmic,S
group_5972,-,-
lysO_lysO_2_lysO_1,membrane,S
group_8308,-,-
group_8309,-,-
hypA,Probably plays a role in a hydrogenase nickel cofactor insertion step,S
group_8310,transcriptional regulator,K
group_1333,-,-
group_5884,"Condensation of UDP-2,3-diacylglucosamine and 2,3- diacylglucosamine-1-phosphate to form lipid A disaccharide, a precursor of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell",M
group_969,-,-
group_781,Phage small terminase subunit,S
group_8311,Terminase RNaseH-like domain,S
group_1982,portal protein,S
group_4022,Domain of unknown function (DUF4311),S
group_5945,Pfam:DUF1311,S
group_8313,DNA methylase,H
group_8314,endonuclease activity,V
group_8312,Inovirus Gp2,S
group_2055,-,-
group_1117,-,-
group_1779,Reverse transcriptase (RNA-dependent DNA polymerase),L
group_2104,Peptidase S24-like,L
group_1939,Antitoxin component of a toxin-antitoxin (TA) module,D
group_4134,acyl-CoA dehydrogenase,I
group_8319,Domain present in phytochromes and cGMP-specific phosphodiesterases.,T
group_8322,"ISSoEn1, terminal inverted repeat",L
group_8316,signal transduction protein containing sensor and EAL,T
group_8318,Membrane,S
group_8317,"BCCT, betaine/carnitine/choline family transporter",U
group_2107,HTH-like domain,L
group_1789,cog cog2963,L
group_8323,Transposase,L
pcoE_pcoE_1,-,-
group_8324,zinc-finger of transposase IS204/IS1001/IS1096/IS1165,L
group_8327,-,-
group_8326,-,-
ymoA,non-specific DNA-binding protein which affects the production of multiple proteins,S
group_606,Protein of unknown function (DUF1778),S
clpC_clpB1,"Part of a stress-induced multi-chaperone system, it is involved in the recovery of the cell from heat-induced damage, in cooperation with DnaK, DnaJ and GrpE",O
amiF,"Also exhibits in vitro acyl transferase activity, transferring the acyl moiety of short-chain amides to hydroxylamine to form hydroxamates",S
group_8331,"ATPase activity, coupled to transmembrane movement of substances",I
lptB_3,abc transporter atp-binding protein,E
group_8333,Belongs to the binding-protein-dependent transport system permease family,E
group_8335,Belongs to the binding-protein-dependent transport system permease family,E
