Gene,Annotation
group_6680,hypothetical protein
group_6659,hypothetical protein
group_6641,hypothetical protein
group_6636,hypothetical protein
group_6619,hypothetical protein
pknD_2,Serine/threonine-protein kinase PknD
group_6616,hypothetical protein
group_6615,hypothetical protein
group_6613,hypothetical protein
group_6597,hypothetical protein
group_6589,hypothetical protein
group_6533,hypothetical protein
group_6516,hypothetical protein
group_6515,hypothetical protein
group_6514,hypothetical protein
group_6513,hypothetical protein
group_6509,hypothetical protein
group_6508,hypothetical protein
ssuD,Alkanesulfonate monooxygenase
group_6478,hypothetical protein
group_6457,hypothetical protein
group_6456,hypothetical protein
group_6435,hypothetical protein
group_6429,hypothetical protein
hypE_1,Carbamoyl dehydratase HypE
group_6424,hypothetical protein
group_6420,hypothetical protein
group_6417,hypothetical protein
group_6303,hypothetical protein
group_6301,hypothetical protein
group_6300,hypothetical protein
group_6280,hypothetical protein
group_6219,hypothetical protein
group_6218,hypothetical protein
group_6216,hypothetical protein
group_6212,hypothetical protein
group_6211,hypothetical protein
group_6208,hypothetical protein
group_6201,hypothetical protein
group_6197,hypothetical protein
group_6188,ATP-dependent Clp protease proteolytic subunit
group_6186,hypothetical protein
group_6177,hypothetical protein
group_6170,hypothetical protein
group_6165,hypothetical protein
group_6161,hypothetical protein
group_6154,hypothetical protein
group_6037,hypothetical protein
group_5786,hypothetical protein
group_5745,hypothetical protein
group_5709,hypothetical protein
group_5674,hypothetical protein
group_5659,hypothetical protein
group_5585,hypothetical protein
group_5577,hypothetical protein
group_5562,hypothetical protein
group_5496,hypothetical protein
group_5485,hypothetical protein
group_5461,hypothetical protein
group_5359,hypothetical protein
group_5316,hypothetical protein
group_5225,hypothetical protein
group_5180,hypothetical protein
group_5140,Tn3 family transposase ISYps3
group_5005,hypothetical protein
ghrA_2,Glyoxylate/hydroxypyruvate reductase A
group_4900,hypothetical protein
group_4826,hypothetical protein
group_4807,hypothetical protein
group_4782,hypothetical protein
group_4734,hypothetical protein
group_4688,hypothetical protein
group_4624,hypothetical protein
pdeH_2,Cyclic di-GMP phosphodiesterase PdeH
group_4543,hypothetical protein
group_4474,hypothetical protein
group_4458,hypothetical protein
group_4395,hypothetical protein
group_4379,hypothetical protein
group_4344,hypothetical protein
group_4262,hypothetical protein
group_4257,hypothetical protein
group_4253,hypothetical protein
group_4249,hypothetical protein
group_4209,hypothetical protein
group_4181,hypothetical protein
group_4167,hypothetical protein
group_4139,hypothetical protein
gnsA,Protein GnsA
group_4118,hypothetical protein
group_4112,hypothetical protein
group_4110,hypothetical protein
group_3958,hypothetical protein
group_3902,hypothetical protein
group_3844,hypothetical protein
group_3761,hypothetical protein
group_3738,hypothetical protein
group_3712,hypothetical protein
gsiD_4,Glutathione transport system permease protein GsiD
group_3546,hypothetical protein
group_3523,hypothetical protein
group_3515,hypothetical protein
group_3487,hypothetical protein
group_3486,hypothetical protein
group_3442,hypothetical protein
group_3400,hypothetical protein
group_3371,hypothetical protein
group_3332,hypothetical protein
gsiC_3,Glutathione transport system permease protein GsiC
group_3331,hypothetical protein
group_3328,hypothetical protein
group_3305,hypothetical protein
group_3289,hypothetical protein
group_3263,hypothetical protein
group_3258,hypothetical protein
fmdA,Formamidase
group_3205,hypothetical protein
group_3096,hypothetical protein
group_3063,hypothetical protein
group_3055,hypothetical protein
group_3045,hypothetical protein
group_3033,hypothetical protein
group_3028,hypothetical protein
group_2926,hypothetical protein
group_2888,hypothetical protein
amiC_3,Aliphatic amidase expression-regulating protein
group_2864,hypothetical protein
group_2849,hypothetical protein
group_2813,hypothetical protein
group_2772,hypothetical protein
group_2751,hypothetical protein
group_2740,hypothetical protein
group_2735,hypothetical protein
group_2653,hypothetical protein
group_2649,hypothetical protein
group_2612,hypothetical protein
group_2602,hypothetical protein
group_2502,hypothetical protein
group_2355,hypothetical protein
group_2155,hypothetical protein
group_2099,hypothetical protein
group_2060,hypothetical protein
group_1928,hypothetical protein
group_1856,hypothetical protein
group_1795,Periplasmic dipeptide transport protein
group_1756,ATP-dependent DNA helicase Rep
group_1737,hypothetical protein
group_1695,hypothetical protein
group_1679,hypothetical protein
group_1656,hypothetical protein
group_1645,hypothetical protein
group_1586,hypothetical protein
group_1557,hypothetical protein
group_1554,hypothetical protein
group_1515,hypothetical protein
group_1498,hypothetical protein
group_1471,hypothetical protein
group_1468,hypothetical protein
group_1464,hypothetical protein
group_1418,hypothetical protein
group_1408,hypothetical protein
gsiA_3,Glutathione import ATP-binding protein GsiA
group_1393,hypothetical protein
group_1390,hypothetical protein
group_1358,hypothetical protein
group_1342,hypothetical protein
group_1307,hypothetical protein
group_1249,hypothetical protein
group_1247,hypothetical protein
group_1210,hypothetical protein
group_1185,hypothetical protein
group_1141,hypothetical protein
group_957,hypothetical protein
noc,hypothetical protein;Nucleoid occlusion protein
group_868,hypothetical protein
group_857,hypothetical protein
group_807,hypothetical protein
group_804,hypothetical protein
group_772,hypothetical protein
group_770,hypothetical protein
group_756,hypothetical protein
group_751,hypothetical protein
group_603,hypothetical protein
group_556,hypothetical protein
group_497,hypothetical protein
group_483,hypothetical protein
group_427,hypothetical protein
rapA_3,RNA polymerase-associated protein RapA
group_373,hypothetical protein
uvrA_1,UvrABC system protein A
group_237,hypothetical protein
group_207,hypothetical protein
group_109,hypothetical protein
group_28,hypothetical protein
group_9766,ISNCY family transposase ISBcen27
group_9732,hypothetical protein
group_9725,hypothetical protein
group_9721,hypothetical protein;Chaperone protein HtpG
group_9720,putative BsuMI modification methylase subunit YdiO
group_9689,Acetyltransferase
group_9681,hypothetical protein
group_9675,hypothetical protein
group_9674,hypothetical protein
group_9666,hypothetical protein
bspRIM_haeIIIM,Modification methylase BspRI;Modification methylase HaeIII
group_9661,hypothetical protein
group_9654,hypothetical protein
group_9650,hypothetical protein
group_9638,hypothetical protein
group_9634,hypothetical protein
recF_1_recF_2,DNA replication and repair protein RecF
group_9628,hypothetical protein
group_9626,hypothetical protein
group_9606,hypothetical protein
group_9593,hypothetical protein
tilS_1,tRNA(Ile)-lysidine synthase
group_9587,hypothetical protein
group_9583,Protein/nucleic acid deglycase HchA
group_9567,hypothetical protein
group_9565,hypothetical protein
group_9561,IS1 family transposase IS1R;IS1 family transposase IS1X2
group_9554,hypothetical protein
group_9539,hypothetical protein
group_9532,hypothetical protein
group_9529,hypothetical protein
group_9525,hypothetical protein
group_9513,hypothetical protein
group_9503,hypothetical protein
eptA_1_eptA,Phosphoethanolamine transferase EptA
group_9497,hypothetical protein
group_9490,hypothetical protein
mcjD,Microcin-J25 export ATP-binding/permease protein McjD
group_9481,hypothetical protein
group_9480,hypothetical protein
group_9467,Multiple antibiotic resistance protein MarA
group_9466,hypothetical protein
group_9458,hypothetical protein
group_9456,hypothetical protein
group_9440,hypothetical protein
group_9434,hypothetical protein
group_9420,hypothetical protein
group_9417,hypothetical protein
group_9415,IS66 family transposase ISPpu19
group_9414,hypothetical protein
group_9411,hypothetical protein
group_9405,hypothetical protein
patB_2,Cystathionine beta-lyase PatB
group_9395,hypothetical protein
group_9391,hypothetical protein
group_9389,hypothetical protein
htrE_2_htrE_3,Outer membrane usher protein HtrE
group_9387,hypothetical protein
ttuB_3,Putative tartrate transporter
group_9376,hypothetical protein
dnaJ_1,Chaperone protein DnaJ;hypothetical protein
group_9361,hypothetical protein
group_9350,hypothetical protein
group_9333,hypothetical protein
group_9322,hypothetical protein
group_9290,Riboflavin transporter RfnT
group_9289,hypothetical protein
group_9288,HTH-type transcriptional regulator CdhR
group_9287,hypothetical protein
group_9285,hypothetical protein
group_9284,hypothetical protein
group_9283,hypothetical protein
group_9276,hypothetical protein
group_9275,hypothetical protein
group_9263,hypothetical protein
group_9256,hypothetical protein
group_9255,hypothetical protein
group_9247,hypothetical protein
group_9241,hypothetical protein
group_9233,hypothetical protein
group_9229,hypothetical protein
group_9222,hypothetical protein
group_9212,hypothetical protein
group_9211,hypothetical protein
group_9199,hypothetical protein
group_9192,hypothetical protein
group_9190,hypothetical protein
group_9189,hypothetical protein
group_9187,hypothetical protein
tadA_1,tRNA-specific adenosine deaminase
group_9173,hypothetical protein
group_9164,hypothetical protein
group_9150,hypothetical protein;IS21 family transposase ISSen8
group_9141,hypothetical protein
trg_4,Methyl-accepting chemotaxis protein III
group_9117,hypothetical protein
group_9116,hypothetical protein
group_9115,hypothetical protein
group_9114,hypothetical protein
group_9113,hypothetical protein
group_9110,hypothetical protein
group_9109,hypothetical protein
group_9104,hypothetical protein
group_9097,Modification methylase Eco57IB
group_9096,hypothetical protein
group_9095,hypothetical protein
group_9084,hypothetical protein
group_9069,hypothetical protein
group_9068,hypothetical protein
group_9067,hypothetical protein
group_9066,hypothetical protein
group_9065,hypothetical protein
group_9064,hypothetical protein
group_9063,hypothetical protein
group_9062,hypothetical protein
group_9061,ATP-dependent DNA helicase Rep
group_9060,hypothetical protein
group_9059,hypothetical protein
group_9058,hypothetical protein
group_9057,hypothetical protein
